"TimeStamp","Path","Value"
"03_08_2022-17:32:37","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","10437.8795524992"
"03_08_2022-17:32:37","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:37","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:37","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:37","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:37","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0120170646123375"
"03_08_2022-17:32:37","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0120170646123375"
"03_08_2022-17:32:38","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.9801357183759"
"03_08_2022-17:32:38","\\usni25pxed\physicaldisk(_total)\% idle time","98.9801357183759"
"03_08_2022-17:32:38","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:38","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00339743333333333"
"03_08_2022-17:32:38","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:38","\\usni25pxed\memory\available mbytes","20619"
"03_08_2022-17:32:38","\\usni25pxed\processor(_total)\% processor time","14.1304912498919"
"03_08_2022-17:32:38","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","4750.97779460005"
"03_08_2022-17:32:38","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:38","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:38","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:38","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:38","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0100721689596091"
"03_08_2022-17:32:38","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0100721689596091"
"03_08_2022-17:32:39","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.936236474009"
"03_08_2022-17:32:39","\\usni25pxed\physicaldisk(_total)\% idle time","98.936236474009"
"03_08_2022-17:32:39","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:39","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.0025951625"
"03_08_2022-17:32:39","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:39","\\usni25pxed\memory\available mbytes","20575"
"03_08_2022-17:32:39","\\usni25pxed\processor(_total)\% processor time","14.2776718634292"
"03_08_2022-17:32:39","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","23980.5563921021"
"03_08_2022-17:32:39","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:39","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:39","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:39","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:39","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0207837843971552"
"03_08_2022-17:32:39","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0207837843971552"
"03_08_2022-17:32:40","\\usni25pxed\physicaldisk(0 c:)\% idle time","97.6721527528278"
"03_08_2022-17:32:40","\\usni25pxed\physicaldisk(_total)\% idle time","97.6721527528278"
"03_08_2022-17:32:40","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:40","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000499813043478261"
"03_08_2022-17:32:40","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:40","\\usni25pxed\memory\available mbytes","20521"
"03_08_2022-17:32:40","\\usni25pxed\processor(_total)\% processor time","11.6760725789763"
"03_08_2022-17:32:40","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","10635.450710416"
"03_08_2022-17:32:40","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:40","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:40","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:40","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:40","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0230176232452699"
"03_08_2022-17:32:40","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0230176232452699"
